age,gender,zip_code,daily_kcal,protein_g,carbs_g,fat_g,fruit_portions
71,female,3515.0,2390.0,220,242,20,2
48,male,1035.0,2340.0,220,133,56,3
21,female,1045.0,2040.0,65,337,37,4
31,male,3025.0,2050.0,96,345,20,3
35,female,1025.0,1920.0,117,298,20,3
68,male,9730.0,2025.0,157,321,28,4
29,female,3510.0,2080.0,85,338,74,3
24,other,5645.0,2270.0,156,248,92,2
86,female,4815.0,1970.0,30,410,27,6
26,male,3025.0,1865.0,30,405,20,2
75,female,9720.0,2090.0,220,142,56,3
60,female,5630.0,1990.0,150,257,29,4
79,female,1035.0,1575.0,37,225,90,6
30,male,6210.0,2840.0,72,429,76,4
32,male,3540.0,1915.0,136,284,20,2
80,male,1035.0,2555.0,60,439,37,5
22,male,4815.0,2310.0,30,470,35,0
57,female,5610.0,2240.0,64,341,41,8
81,male,5620.0,1935.0,90,162,93,2
24,female,6535.0,2165.0,220,236,20,4
27,male,5015.0,2900.0,86,498,20,2
78,male,8920.0,2220.0,74,415,39,1
71,female,3515.0,1640.0,92,262,45,2
53,female,1045.0,1410.0,36,154,78,1
35,female,5045.0,2225.0,208,321,30,2
41,male,9730.0,2450.0,80,406,77,2
84,male,5010.0,1790.0,214,133,55,1
41,male,5010.0,2480.0,114,292,91,1
80,female,9730.0,1845.0,159,185,39,2
39,male,5045.0,2670.0,126,396,68,1
42,male,3025.0,2310.0,41,378,36,0
39,male,2015.0,1955.0,35,309,50,4
62,male,4815.0,2240.0,213,276,31,10
44,male,3535.0,2370.0,220,206,41,7
66,female,1035.0,1925.0,111,186,89,5
49,female,5610.0,1980.0,127,296,31,4
40,male,3025.0,2160.0,30,120,177,4
43,male,1025.0,2000.0,176,194,84,3
89,male,1035.0,2010.0,78,301,66,3
51,female,1030.0,1855.0,30,393,47,0
55,female,5630.0,2415.0,110,223,112,3
88,male,5645.0,2140.0,65,394,23,7
65,male,1825.0,1815.0,76,220,55,2
18,male,9735.0,2115.0,201,197,53,3
39,male,5035.0,2400.0,89,338,89,1
39,male,4825.0,2540.0,104,309,98,2
46,female,5635.0,2010.0,156,258,45,1
34,male,5035.0,1940.0,88,242,84,1
42,female,5015.0,2210.0,69,314,78,6
54,male,1035.0,2190.0,46,486,24,2
69,male,4810.0,2205.0,36,380,41,5
