age,gender,zip_code,daily_kcal,protein_g,carbs_g,fat_g,fruit_portions
75.0,female,3511.0,2391,220,242,20,2
46.0,male,1035.0,2338,220,133,56,3
27.0,female,1046.0,2038,65,337,37,4
26.0,male,3025.0,2049,96,345,20,3
36.0,female,1022.0,1922,117,298,20,3
67.0,male,9728.0,2023,157,321,28,4
29.0,female,3511.0,2082,85,338,74,3
26.0,other,5644.0,2271,156,248,92,2
87.0,female,4817.0,1970,30,410,27,6
27.0,male,3023.0,1867,30,405,20,2
74.0,female,9719.0,2092,220,142,56,3
55.0,female,5633.0,1991,150,257,29,4
78.0,female,1036.0,1577,37,225,90,6
34.0,male,6210.0,2840,72,429,76,4
33.0,male,3541.0,1915,136,284,20,2
79.0,male,1038.0,2554,60,439,37,5
22.0,male,4816.0,2308,30,470,35,0
58.0,female,5613.0,2238,64,341,41,8
82.0,male,5621.0,1934,90,162,93,2
24.0,female,6532.0,2167,220,236,20,4
28.0,male,5014.0,2900,86,498,20,2
77.0,male,8917.0,2218,74,415,39,1
70.0,female,3510.0,1640,92,262,45,2
52.0,female,1050.0,1411,36,154,78,1
35.0,female,5041.0,2224,208,321,30,2
41.0,male,9728.0,2451,80,406,77,2
84.0,male,5012.0,1790,214,133,55,1
41.0,male,5011.0,2480,114,292,91,1
82.0,female,9725.0,1845,159,185,39,2
39.0,male,5041.0,2668,126,396,68,1
43.0,male,3024.0,2309,41,378,36,0
38.0,male,2014.0,1957,35,309,50,4
64.0,male,4816.0,2242,213,276,31,10
45.0,male,3534.0,2369,220,206,41,7
71.0,female,1037.0,1925,111,186,89,5
49.0,female,5611.0,1979,127,296,31,4
40.0,male,3025.0,2161,30,120,177,4
39.0,male,1026.0,1999,176,194,84,3
89.0,male,1034.0,2009,78,301,66,3
52.0,female,1034.0,1855,30,393,47,0
54.0,female,5633.0,2417,110,223,112,3
89.0,male,5648.0,2139,65,394,23,7
66.0,male,1827.0,1815,76,220,55,2
17.0,male,9735.0,2117,201,197,53,3
40.0,male,5033.0,2400,89,338,89,1
40.0,male,4825.0,2541,104,309,98,2
46.0,female,5633.0,2012,156,258,45,1
35.0,male,5033.0,1940,88,242,84,1
42.0,female,5011.0,2208,69,314,78,6
55.0,male,1034.0,2190,46,486,24,2
69.0,male,4810.0,2206,36,380,41,5
79.0,female,9727.0,1734,104,299,20,3
34.0,male,5031.0,2413,34,483,68,1
56.0,male,5033.0,2424,68,338,92,2
70.0,male,4812.0,2024,137,179,63,0
36.0,female,5035.0,2112,62,278,91,1
31.0,other,3542.0,1920,143,199,36,3
21.0,female,6217.0,1664,59,351,20,6
37.0,female,1030.0,2157,57,303,86,3
20.0,male,9712.0,2227,98,270,78,1
75.0,female,4816.0,2382,137,304,92,6
89.0,male,1028.0,2122,30,465,43,3
41.0,female,3510.0,2049,83,299,97,2
59.0,female,1825.0,2027,220,118,20,0
78.0,female,3025.0,1893,48,282,71,6
49.0,female,1822.0,1914,220,236,20,2
88.0,male,6221.0,2118,162,361,46,1
84.0,male,5622.0,2123,52,319,81,1
