"age","gender","zip_code","daily_kcal","protein_g","carbs_g","fat_g","fruit_portions"
71,"female","3514",2391,220,242,20,2
48,"male","1035",2338,220,133,56,3
21,"female","1046",2038,65,337,37,4
31,"male","3024",2049,96,345,20,3
35,"female","1023",1922,117,298,20,3
68,"male","9728",2023,157,321,28,4
29,"female","3511",2082,85,338,74,3
24,"other","5644",2271,156,248,92,2
86,"female","4817",1970,30,410,27,6
26,"male","3024",1867,30,405,20,2
75,"female","9721",2092,220,142,56,3
60,"female","5632",1991,150,257,29,4
79,"female","1036",1577,37,225,90,6
30,"male","6211",2840,72,429,76,4
32,"male","3542",1915,136,284,20,2
80,"male","1036",2554,60,439,37,5
22,"male","4817",2308,30,470,35,0
57,"female","5612",2238,64,341,41,8
81,"male","5621",1934,90,162,93,2
24,"female","6535",2167,220,236,20,4
27,"male","5014",2900,86,498,20,2
78,"male","8921",2218,74,415,39,1
71,"female","3516",1640,92,262,45,2
53,"female","1046",1411,36,154,78,1
35,"female","5045",2224,208,321,30,2
41,"male","9728",2451,80,406,77,2
84,"male","5012",1790,214,133,55,1
41,"male","5012",2480,114,292,91,1
80,"female","9728",1845,159,185,39,2
39,"male","5045",2668,126,396,68,1
42,"male","3023",2309,41,378,36,0
39,"male","2014",1957,35,309,50,4
62,"male","4816",2242,213,276,31,10
44,"male","3534",2369,220,206,41,7
66,"female","1036",1925,111,186,89,5
49,"female","5612",1979,127,296,31,4
40,"male","3023",2161,30,120,177,4
43,"male","1023",1999,176,194,84,3
89,"male","1035",2009,78,301,66,3
51,"female","1031",1855,30,393,47,0
55,"female","5632",2417,110,223,112,3
88,"male","5646",2139,65,394,23,7
65,"male","1825",1815,76,220,55,2
18,"male","9735",2117,201,197,53,3
39,"male","5033",2400,89,338,89,1
39,"male","4825",2541,104,309,98,2
46,"female","5634",2012,156,258,45,1
34,"male","5033",1940,88,242,84,1
42,"female","5014",2208,69,314,78,6
54,"male","1033",2190,46,486,24,2
69,"male","4811",2206,36,380,41,5
80,"female","9728",1734,104,299,20,3
35,"male","5033",2413,34,483,68,1
55,"male","5033",2424,68,338,92,2
71,"male","4811",2024,137,179,63,0
36,"female","5033",2112,62,278,91,1
28,"other","3542",1920,143,199,36,3
21,"female","6216",1664,59,351,20,6
37,"female","1031",2157,57,303,86,3
21,"male","9712",2227,98,270,78,1
75,"female","4816",2382,137,304,92,6
89,"male","1028",2122,30,465,43,3
38,"female","3511",2049,83,299,97,2
59,"female","1825",2027,220,118,20,0
76,"female","3023",1893,48,282,71,6
46,"female","1823",1914,220,236,20,2
85,"male","6221",2118,162,361,46,1
86,"male","5621",2123,52,319,81,1
86,"female","1035",1979,30,307,54,9
36,"male","2517",2503,128,425,20,1
78,"female","4811",1735,104,319,29,6
43,"female","6221",2435,169,380,20,3
87,"female","5632",1872,85,308,28,2
32,"male","3024",2132,80,289,49,5
39,"male","3542",2495,162,364,45,2
58,"male","2517",2474,220,262,20,10
66,"male","9735",2514,105,233,151,2
80,"female","3515",1847,56,231,77,5
78,"male","1023",2386,104,454,25,6
22,"male","3511",2601,81,378,101,0
55,"male","3534",2305,115,217,110,6
73,"female","3023",1776,105,366,37,9
25,"male","5612",2398,220,361,29,4
73,"male","9711",1758,96,105,119,2
48,"male","6535",1695,183,248,20,4
29,"female","3511",2515,30,511,68,1
66,"male","6514",1756,113,215,57,2
60,"male","4822",1643,51,245,68,1
58,"male","5622",2264,139,292,65,5
83,"female","6535",1610,64,294,20,4
55,"male","5045",2618,201,295,27,6
69,"male","4825",2613,220,255,49,0
72,"male","6514",1984,220,208,20,6
31,"male","9731",2517,85,365,52,2
49,"male","5612",2781,116,415,50,2
82,"male","3531",2053,78,184,75,5
40,"female","9721",2399,169,243,96,3
22,"female","2545",2266,88,342,66,2
66,"male","9711",1629,214,116,76,3
24,"female","5012",2285,68,292,43,1
29,"female","9711",2082,85,323,55,2
82,"male","3024",2178,30,459,24,4
80,"female","3515",1839,65,179,88,7
31,"other","3548",1961,196,235,20,2
46,"female","1046",1797,37,375,20,3
53,"male","5014",1964,30,402,28,3
39,"female","5616",2105,220,236,20,1
65,"male","6216",2494,119,375,51,6
60,"male","8921",2264,38,291,122,2
37,"male","2517",2503,220,268,20,4
43,"male","3041",2177,220,126,55,3
57,"male","2545",2121,33,288,98,1
24,"female","1023",2297,220,264,20,5
23,"male","1046",2398,72,117,143,4
74,"male","2545",2047,56,359,53,1
28,"male","5033",2516,123,454,56,4
88,"male","9721",2138,30,552,44,1
41,"male","1033",2427,197,264,117,3
73,"male","5622",2061,65,369,37,4
61,"male","2545",2110,214,352,35,5
29,"female","9728",2040,159,214,79,3
37,"male","3514",2533,175,375,33,3
58,"male","3516",2178,113,163,109,2
39,"male","6224",1931,87,418,20,4
29,"male","5033",2486,34,230,180,3
85,"female","5012",1604,69,262,39,1
54,"male","2517",2274,131,419,20,9
26,"female","3511",2794,30,497,84,1
41,"male","1033",2427,155,161,119,3
89,"other","6514",1936,216,177,26,3
22,"female","3516",1895,104,253,51,1
59,"female","3511",2146,63,329,81,1
47,"male","5612",2155,157,390,20,2
53,"male","9731",1833,204,116,56,5
56,"female","8921",1956,30,200,145,1
87,"male","3514",2436,30,396,84,6
45,"male","1023",2212,136,311,37,5
81,"female","2014",1963,220,190,49,6
78,"male","9721",1866,30,155,121,4
84,"female","3534",1955,50,383,20,7
64,"female","4817",2348,82,236,127,1
56,"female","4817",1928,30,295,51,4
65,"female","3024",1956,61,231,98,2
54,"female","5612",1636,208,80,54,4
66,"female","5644",1525,57,217,62,3
60,"male","1046",2282,85,395,51,7
21,"female","1825",2102,48,324,66,1
71,"female","2517",1624,30,188,39,6
82,"female","1046",1720,65,270,20,5
80,"female","9728",1860,92,308,32,3
52,"male","8921",2525,154,273,86,3
84,"female","1823",1800,125,361,20,2
89,"male","1035",2009,81,346,21,2
85,"female","2517",1358,61,216,28,6
40,"male","4816",2455,168,224,119,1
84,"male","5646",2547,220,228,53,4
71,"female","4822",1612,92,203,62,3
41,"female","6211",2457,135,496,36,2
51,"female","5632",1979,89,301,49,3
57,"male","1033",2257,220,216,20,5
73,"female","4811",2495,102,436,20,5
38,"male","5632",2756,156,364,35,2
60,"female","3511",1903,137,174,86,10
76,"male","3035",2014,43,369,25,4
57,"male","5612",2342,207,353,21,4
32,"female","5025",1946,30,343,28,6
77,"other","5616",2280,137,322,27,1
56,"male","9731",1934,115,330,20,4
86,"male","9735",2055,58,302,69,2
19,"female","3026",1701,51,290,24,5
34,"male","4816",2065,71,288,68,1
18,"female","5033",2398,123,289,103,5
30,"male","5634",2678,198,350,31,3
55,"male","5033",2424,220,263,56,3
84,"female","8912",1452,30,269,53,7
89,"female","4817",2067,171,255,44,5
18,"male","2517",2630,181,324,45,3
31,"male","8912",2077,95,346,34,2
37,"female","5022",2257,171,388,20,4
66,"female","1036",1925,111,202,59,6
82,"female","3515",1887,56,231,88,7
46,"male","2014",2063,71,184,100,5
79,"male","5033",2187,181,229,62,2
66,"male","9735",2135,72,379,44,1
47,"male","3035",2226,220,158,36,5
38,"female","5644",1694,104,205,20,1
47,"female","2517",2538,220,345,33,2
85,"female","3515",1507,30,292,20,6
50,"male","1033",2153,30,474,28,5
69,"female","2517",1911,163,359,20,1
66,"female","3534",1968,94,216,89,4
87,"male","9728",2385,207,118,115,5
37,"female","6211",2131,186,216,72,1
74,"male","5622",2058,106,430,20,6
35,"male","6535",1847,220,212,20,2
61,"male","5612",2201,176,311,20,4
45,"female","6211",2433,148,427,48,2
89,"male","1028",2122,78,275,59,1
20,"male","1023",2281,220,291,73,5
84,"male","4817",2050,171,247,92,5
38,"female","9735",2230,144,233,112,0
47,"male","3035",2385,220,299,20,3
36,"female","3531",2258,130,344,52,4
73,"female","6216",1663,30,296,47,2
37,"male","2517",2459,107,381,25,2
72,"female","5632",1928,53,207,97,4
79,"male","1035",2756,35,585,20,5
25,"female","5644",2191,125,248,80,1
56,"female","3514",2027,41,324,66,5
47,"female","5634",1770,156,142,61,1
69,"male","9728",2793,84,373,60,4
33,"male","5014",2232,47,411,28,5
62,"female","3542",2112,30,323,66,2
28,"female","5616",2431,109,257,145,3
85,"female","6211",2271,220,279,41,7
78,"female","1031",1823,65,184,108,4
21,"female","5022",2031,30,410,28,3
81,"female","4811",1755,111,304,20,5
84,"male","4816",2332,133,317,38,4
89,"female","3542",2176,47,381,46,4
28,"female","5612",2439,111,405,50,5
57,"female","5045",2139,84,398,25,4
59,"male","3542",2118,131,313,20,2
85,"female","4822",1349,45,169,56,1
26,"female","3041",1965,71,325,57,4
25,"female","1023",1994,133,298,20,2
49,"male","6514",2256,98,385,39,1
73,"female","4811",2105,137,297,57,4
39,"male","9721",2292,56,298,97,1
52,"male","5025",1904,183,300,20,5
73,"female","1036",1515,98,203,20,10
30,"male","6514",1749,176,149,72,4
82,"male","3516",2028,79,299,79,2
21,"female","1825",2102,79,392,24,2
62,"female","2545",2105,108,342,74,3
56,"female","3035",2222,57,233,107,4
70,"male","6221",2386,43,278,142,6
72,"female","3548",1664,136,147,72,3
34,"female","5632",1758,178,216,24,3
75,"male","6224",1810,139,180,43,4
47,"male","4811",2211,117,337,39,7
71,"male","3516",2463,148,267,86,1
