User_ID,Category,Calories..kcal.,Protein..g.,Carbohydrates..g.,Fat..g.,Fiber..g.,Sugars..g.,Sodium..mg.,Cholesterol..mg.,Meal_Type,Water_Intake..ml.,age,gender,zip_code
456,Snacks,312,21.1,11.0,39.4,3.3,48.1,719,151,Snack,771,40.0,Male,3410.0
865,Snacks,160,20.1,94.2,41.6,8.6,18.2,186,220,Dinner,239,30.0,Female,1080.0
774,Fruits,508,7.7,29.0,31.2,7.2,47.3,235,189,Lunch,583,55.0,Male,5910.0
15,Dairy,368,45.9,38.1,20.2,2.9,36.4,612,50,Lunch,795,35.0,Male,3025.0
343,Meat,73,6.3,76.1,11.0,3.8,44.9,816,0,Dinner,640,40.0,Male,2530.0
715,Fruits,320,41.5,95.0,17.3,6.5,43.0,435,88,Breakfast,420,25.0,Female,3010.0
633,Vegetables,231,35.9,21.9,43.6,2.6,25.1,177,300,Snack,740,30.0,Female,2510.0
927,Beverages,425,45.0,14.7,19.9,9.6,40.3,986,257,Lunch,710,50.0,Male,3540.0
851,Vegetables,379,35.1,39.1,18.9,0.3,39.3,817,138,Lunch,249,65.0,Male,2560.0
692,Beverages,462,43.0,18.2,48.4,7.1,32.7,998,254,Snack,738,35.0,Female,4805.0
165,Vegetables,518,4.7,81.3,48.7,3.8,20.8,634,21,Dinner,550,30.0,Male,9710.0
791,Meat,115,8.5,99.6,25.4,4.1,32.4,667,175,Lunch,319,30.0,Female,2575.0
32,Meat,530,41.3,67.2,40.5,4.3,38.4,278,70,Lunch,693,35.0,Female,3500.0
225,Beverages,476,2.9,30.0,42.0,2.9,23.9,644,58,Lunch,894,35.0,Male,1010.0
530,Dairy,410,2.2,93.0,35.3,4.5,15.8,295,100,Snack,628,40.0,Male,7810.0
709,Grains,86,9.7,50.1,15.2,7.1,3.6,921,152,Dinner,611,75.0,Female,1110.0
187,Fruits,214,14.0,68.0,19.1,5.6,10.5,692,78,Dinner,174,50.0,Female,1030.0
937,Beverages,286,21.6,9.4,6.5,7.2,25.2,328,98,Lunch,520,75.0,Female,4530.0
131,Vegetables,307,47.0,56.2,3.0,4.0,40.0,642,104,Dinner,543,30.0,Female,3045.0
332,Beverages,354,6.7,95.4,10.7,2.7,17.6,733,220,Lunch,606,45.0,Female,2525.0
82,Beverages,263,45.7,6.6,38.3,6.0,26.5,619,256,Snack,361,75.0,Male,1015.0
714,Dairy,407,36.4,11.4,16.6,0.1,46.9,815,177,Lunch,933,65.0,Female,1035.0
601,Beverages,219,18.9,93.7,22.9,3.6,0.3,968,8,Snack,605,55.0,Male,1000.0
218,Beverages,234,47.9,14.7,6.7,2.2,45.7,687,55,Snack,991,50.0,Male,2590.0
952,Fruits,150,35.0,79.6,9.2,8.5,31.5,487,200,Dinner,373,75.0,Female,3055.0
507,Meat,599,36.0,23.8,9.0,7.8,27.7,13,165,Lunch,927,25.0,Male,2500.0
103,Meat,160,26.8,84.9,19.1,0.8,48.3,498,243,Dinner,507,50.0,Male,1010.0
893,Snacks,459,46.5,70.1,23.0,8.0,33.6,432,3,Dinner,860,30.0,Female,1030.0
380,Vegetables,558,29.8,90.3,3.8,0.1,33.6,177,50,Dinner,493,60.0,Female,3020.0
55,Beverages,524,48.1,67.2,19.5,5.0,18.4,113,180,Lunch,231,80.0,Female,3055.0
156,Fruits,445,38.1,11.8,29.4,8.1,2.1,253,70,Lunch,195,75.0,Female,3030.0
456,Fruits,539,5.7,38.9,31.9,9.4,44.2,140,296,Snack,479,75.0,Female,4805.0
673,Vegetables,557,49.2,79.9,25.7,0.9,22.6,423,98,Dinner,644,40.0,Female,3545.0
10,Fruits,128,17.6,21.4,12.0,1.9,11.5,573,93,Lunch,481,75.0,Male,3515.0
149,Meat,265,11.4,7.9,35.8,4.3,39.6,497,242,Snack,749,80.0,Male,2515.0
928,Dairy,406,46.2,50.2,43.8,1.7,2.2,907,183,Snack,413,50.0,Female,2000.0
778,Beverages,295,34.3,13.0,18.0,7.6,27.9,369,280,Breakfast,624,40.0,Male,3555.0
434,Fruits,125,6.9,64.7,22.2,8.8,17.0,586,218,Dinner,835,35.0,Female,3060.0
108,Grains,545,27.1,48.5,31.2,3.8,33.2,99,51,Snack,695,40.0,Male,1320.0
999,Meat,330,40.6,94.4,9.2,1.1,2.7,907,83,Breakfast,525,60.0,Male,3550.0
6,Fruits,389,30.1,43.0,4.8,0.2,34.9,425,198,Dinner,976,35.0,Female,1020.0
171,Snacks,183,26.3,17.1,37.7,2.9,33.4,337,76,Lunch,506,75.0,Male,1115.0
97,Dairy,341,7.3,64.6,10.8,2.5,41.0,669,224,Breakfast,686,50.0,Male,3080.0
711,Beverages,537,19.3,49.5,40.7,8.9,15.7,454,220,Breakfast,217,45.0,Female,3010.0
135,Meat,523,36.7,17.8,42.0,7.1,36.7,732,223,Dinner,574,50.0,Male,4460.0
251,Vegetables,511,45.0,59.6,33.3,2.7,25.7,551,228,Snack,231,45.0,Female,9790.0
434,Vegetables,377,2.5,25.7,15.1,7.8,6.6,221,278,Lunch,546,25.0,Male,8450.0
903,Dairy,582,45.0,28.9,22.4,4.2,35.1,653,216,Breakfast,332,80.0,Female,1005.0
959,Vegetables,361,17.9,8.1,12.1,2.4,19.3,825,6,Breakfast,247,70.0,Female,4815.0
938,Grains,286,25.6,98.7,30.9,1.9,47.3,371,205,Lunch,377,70.0,Female,3520.0
60,Beverages,160,47.5,19.1,35.4,4.5,15.8,277,202,Lunch,919,55.0,Male,3520.0
615,Vegetables,252,18.0,21.9,27.8,5.1,0.3,160,250,Lunch,597,35.0,Male,8445.0
94,Beverages,520,31.5,57.6,49.7,4.9,46.1,288,126,Snack,365,25.0,Female,1115.0
780,Snacks,269,31.7,37.1,4.2,5.3,7.6,960,26,Lunch,651,35.0,Male,3510.0
686,Grains,216,20.4,85.7,24.0,0.9,17.2,542,194,Lunch,650,60.0,Male,2515.0
65,Meat,479,44.9,18.4,5.9,8.5,43.8,125,43,Dinner,683,25.0,Male,1020.0
228,Fruits,537,43.4,57.5,21.7,2.4,14.0,720,264,Breakfast,231,80.0,Female,2545.0
665,Meat,337,23.4,47.2,30.8,4.8,40.4,716,1,Snack,788,30.0,Female,3565.0
739,Dairy,70,13.2,30.6,28.0,3.2,46.6,61,208,Snack,524,55.0,Male,3525.0
670,Vegetables,230,4.3,37.4,32.9,9.3,29.6,396,246,Dinner,431,75.0,Male,3035.0
634,Meat,459,35.0,61.7,46.0,5.8,2.8,11,102,Lunch,405,50.0,Female,3600.0
42,Grains,560,46.5,59.8,21.0,9.6,19.1,541,9,Lunch,557,20.0,Female,3015.0
400,Grains,547,13.7,8.6,44.4,3.9,39.0,714,151,Dinner,895,45.0,Male,3400.0
249,Grains,376,1.4,73.0,25.2,1.6,36.1,409,135,Dinner,392,70.0,Female,3045.0
622,Beverages,328,7.8,63.9,6.5,6.5,10.4,899,72,Lunch,520,60.0,Male,3030.0
668,Vegetables,194,42.2,49.9,37.8,6.7,14.1,549,45,Dinner,851,25.0,Female,7810.0
982,Grains,568,40.4,95.6,10.0,0.0,37.1,162,255,Snack,128,55.0,Female,1080.0
429,Snacks,251,39.3,95.2,11.5,7.4,13.6,770,282,Snack,720,65.0,Male,2560.0
154,Fruits,445,49.0,60.4,28.7,9.2,5.2,112,12,Snack,708,55.0,Male,3550.0
415,Beverages,328,17.0,71.0,22.1,2.7,29.1,26,87,Dinner,365,20.0,Male,3555.0
648,Beverages,476,10.5,38.4,15.3,2.3,39.8,554,42,Snack,327,50.0,Male,4460.0
374,Dairy,468,26.5,28.5,16.3,8.1,3.9,122,124,Dinner,391,25.0,Male,3035.0
213,Dairy,568,42.9,13.8,12.4,1.4,33.8,360,98,Breakfast,859,30.0,Female,1115.0
293,Dairy,220,31.1,11.0,2.2,9.5,24.2,687,163,Lunch,425,50.0,Female,4810.0
129,Vegetables,140,43.2,69.7,5.1,8.6,31.5,313,129,Snack,618,45.0,Female,1065.0
492,Meat,485,20.3,35.3,22.6,5.9,29.3,687,97,Lunch,199,50.0,Male,3060.0
829,Dairy,510,17.9,23.9,49.9,7.2,32.9,589,277,Lunch,150,80.0,Female,3050.0
189,Dairy,480,23.6,68.1,41.4,6.0,22.3,997,140,Dinner,482,55.0,Female,9720.0
436,Snacks,560,39.2,13.8,15.2,7.0,9.2,298,154,Breakfast,330,50.0,Female,3010.0
658,Grains,383,7.7,89.3,26.0,3.1,35.1,418,72,Dinner,767,70.0,Male,1045.0
266,Snacks,202,3.0,59.5,13.3,8.4,27.1,363,24,Snack,361,35.0,Female,2600.0
436,Snacks,560,39.2,44.2,19.1,5.6,26.6,438,256,Breakfast,799,65.0,Female,1035.0
148,Dairy,545,41.2,53.2,10.4,1.7,0.1,32,130,Dinner,950,55.0,Male,2535.0
229,Beverages,64,24.3,56.7,4.5,2.4,11.6,953,291,Snack,138,60.0,Male,4810.0
982,Fruits,568,15.7,12.3,24.5,4.7,44.8,591,36,Snack,787,60.0,Male,1085.0
739,Meat,410,4.6,89.3,31.1,5.2,16.1,223,144,Lunch,319,60.0,Female,1035.0
484,Beverages,111,48.0,21.3,23.9,1.4,2.0,148,216,Dinner,203,40.0,Male,8460.0
51,Grains,207,1.7,85.8,25.3,7.2,14.5,779,202,Lunch,994,65.0,Male,3530.0
501,Grains,148,7.9,34.9,41.2,1.3,49.6,66,265,Snack,919,20.0,Female,5910.0
81,Fruits,327,1.1,83.5,25.5,9.9,4.8,203,133,Dinner,384,30.0,Male,1015.0
770,Vegetables,123,1.1,59.4,35.1,9.8,46.8,639,79,Snack,772,45.0,Male,3515.0
807,Snacks,358,34.6,62.7,8.8,0.7,32.0,965,177,Dinner,797,40.0,Male,3545.0
320,Meat,578,27.7,87.8,5.2,4.8,24.7,13,115,Snack,903,70.0,Male,3035.0
117,Snacks,325,27.0,73.2,47.8,8.5,44.3,787,165,Snack,589,30.0,Female,2515.0
85,Fruits,327,13.3,64.6,38.2,0.0,43.3,830,72,Lunch,524,30.0,Female,6840.0
505,Meat,599,38.1,79.0,25.7,9.4,48.6,809,150,Lunch,529,25.0,Male,2510.0
482,Dairy,594,11.2,24.1,11.1,5.3,3.7,742,188,Snack,224,35.0,Female,3110.0
663,Meat,337,23.4,34.2,30.8,3.6,28.5,740,20,Dinner,380,35.0,Female,2065.0
738,Fruits,243,6.1,34.6,36.5,9.5,26.0,801,24,Snack,416,40.0,Female,2065.0
507,Meat,599,32.4,23.8,14.6,6.4,22.2,980,173,Dinner,714,40.0,Female,2500.0
583,Grains,417,24.9,40.9,48.1,1.2,9.3,284,274,Dinner,671,70.0,Female,3050.0
831,Beverages,123,16.8,76.3,38.9,8.1,33.1,875,259,Breakfast,640,75.0,Female,3540.0
907,Meat,497,20.9,24.7,19.9,3.6,42.9,810,132,Breakfast,866,50.0,Female,3400.0
146,Fruits,363,4.8,23.3,40.8,4.6,48.0,83,117,Breakfast,208,40.0,Female,2520.0
596,Vegetables,565,4.3,44.5,2.7,2.2,40.7,465,205,Breakfast,385,65.0,Female,2555.0
664,Vegetables,560,7.1,71.1,11.4,9.0,3.7,677,267,Snack,945,55.0,Male,1005.0
647,Fruits,155,8.3,43.0,8.1,5.6,36.9,632,118,Lunch,737,35.0,Male,1040.0
535,Snacks,184,14.8,87.2,17.9,5.3,6.3,270,256,Breakfast,169,70.0,Male,9900.0
224,Fruits,120,15.7,14.0,22.8,0.4,23.9,433,152,Breakfast,287,55.0,Male,7550.0
766,Dairy,351,38.8,8.5,45.7,5.1,37.6,238,93,Snack,660,60.0,Male,2510.0
776,Dairy,418,12.7,62.9,26.9,6.6,0.2,746,73,Dinner,782,25.0,Female,3570.0
135,Meat,592,24.7,14.3,31.6,8.9,9.2,86,43,Lunch,214,75.0,Female,3570.0
706,Snacks,288,2.2,82.3,18.8,0.3,35.8,455,35,Breakfast,940,50.0,Male,3020.0
217,Grains,74,18.9,7.1,2.7,1.9,19.4,637,195,Snack,616,20.0,Female,8910.0
621,Meat,73,1.6,5.9,25.2,1.2,26.7,755,277,Lunch,617,45.0,Female,1040.0
477,Beverages,463,36.7,9.1,13.8,5.5,24.9,988,299,Dinner,348,70.0,Male,3515.0
956,Fruits,292,23.6,24.9,39.9,3.8,4.8,351,186,Snack,926,40.0,Male,2585.0
188,Snacks,284,22.1,88.4,2.6,0.3,10.7,741,133,Lunch,163,65.0,Male,3070.0
678,Beverages,242,47.7,48.5,18.1,4.8,19.0,190,265,Snack,926,65.0,Female,1090.0
240,Beverages,529,22.2,18.5,19.6,9.5,42.0,412,123,Breakfast,362,60.0,Female,2580.0
540,Snacks,569,43.1,88.5,26.8,0.5,14.6,788,239,Lunch,632,80.0,Female,1030.0
663,Grains,156,26.9,51.3,45.4,4.1,39.3,596,85,Breakfast,542,60.0,Male,4530.0
