age,gender,zip_code,daily_kcal,protein_g,carbs_g,fat_g,fruit_portions
40.0,female,5011.0,1987,220,195,43,4
46.0,male,1813.0,2264,142,359,24,8
74.0,female,1036.0,2067,88,269,77,8
80.0,female,8922.0,1872,37,259,86,1
34.0,male,6224.0,2273,82,427,25,2
53.0,female,5621.0,1379,82,199,59,2
88.0,male,5633.0,2268,129,395,29,4
68.0,male,5013.0,1962,30,255,83,6
56.0,female,6220.0,2309,61,334,72,4
29.0,female,1032.0,1875,156,272,20,3
86.0,female,5036.0,2280,197,165,75,4
77.0,female,3023.0,1850,30,283,61,4
19.0,male,4819.0,2308,30,322,86,0
21.0,female,1822.0,1840,209,214,20,2
38.0,male,9730.0,2037,57,123,120,4
89.0,female,6213.0,1836,32,237,58,6
77.0,female,5021.0,1777,128,220,31,7
70.0,male,1029.0,1759,80,203,52,1
33.0,male,9720.0,2291,190,222,54,4
20.0,female,2014.0,1852,66,298,22,4
44.0,male,1023.0,2347,220,249,38,2
30.0,male,9712.0,2234,98,270,72,2
73.0,female,6221.0,2127,122,285,42,5
56.0,other,3511.0,2333,108,277,77,1
82.0,female,6513.0,1398,43,199,39,6
53.0,female,3547.0,2303,71,359,58,6
46.0,male,4811.0,2211,214,257,54,5
42.0,male,4826.0,2402,170,363,26,5
87.0,male,6225.0,2252,220,242,20,2
68.0,male,8912.0,2324,137,289,34,1
40.0,male,3549.0,1961,94,310,20,3
68.0,male,1033.0,1952,78,184,106,1
64.0,female,3532.0,2052,85,113,90,2
81.0,male,5622.0,2271,220,253,66,3
48.0,male,6211.0,2216,51,311,92,2
48.0,female,1033.0,1736,57,284,24,3
80.0,male,1034.0,2480,145,502,25,3
26.0,female,2543.0,2401,83,143,177,3
33.0,male,1826.0,2480,220,207,20,3
90.0,male,5033.0,1548,30,323,48,3
62.0,female,3023.0,1908,165,290,28,7
35.0,female,1029.0,2084,88,208,125,3
35.0,female,4811.0,2217,117,322,39,1
56.0,female,1826.0,1912,110,234,70,4
43.0,male,4824.0,2575,126,410,58,1
19.0,female,1822.0,1926,141,220,21,3
35.0,male,1814.0,2077,79,363,54,5
57.0,male,5634.0,2202,220,145,37,6
46.0,female,2546.0,1740,74,195,36,4
71.0,male,2518.0,2125,188,358,20,0
52.0,male,9734.0,2315,92,143,177,4
39.0,male,3530.0,2150,82,374,40,1
39.0,male,3022.0,2413,63,426,70,0
35.0,female,8927.0,2351,94,397,37,6
29.0,female,6535.0,1736,54,359,20,3
35.0,male,5631.0,2097,168,279,30,3
75.0,female,4816.0,2092,71,403,20,5
55.0,other,4822.0,2324,123,361,29,2
20.0,female,5011.0,2285,186,183,40,3
60.0,female,4809.0,2200,30,474,23,4
30.0,female,3547.0,2285,210,165,20,3
24.0,other,3035.0,2413,84,245,123,3
32.0,male,5646.0,2552,206,353,50,6
77.0,male,1031.0,2276,43,288,98,3
80.0,male,1822.0,2421,92,490,20,6
35.0,male,4816.0,2658,220,420,20,2
53.0,male,3029.0,2228,220,150,60,5
86.0,female,4825.0,1531,59,275,23,4
83.0,male,3542.0,2093,47,326,68,3
46.0,female,2545.0,2000,65,359,53,3
92.0,male,3023.0,1953,94,330,20,9
53.0,female,5641.0,1643,98,145,69,3
27.0,male,5020.0,1910,220,246,20,8
79.0,male,6514.0,1791,108,259,25,2
79.0,male,5620.0,1602,196,80,103,1
25.0,female,2014.0,2509,134,366,47,3
18.0,male,4818.0,2720,160,551,40,2
71.0,female,2543.0,2203,137,300,59,4
85.0,male,5026.0,1794,138,335,20,3
23.0,female,8924.0,2397,139,454,20,7
75.0,male,4821.0,2494,123,357,75,2
80.0,male,3025.0,1947,85,325,39,1
93.0,male,2514.0,2089,61,285,95,7
57.0,male,9717.0,2346,126,307,43,4
36.0,female,1031.0,2028,64,383,36,5
89.0,female,5025.0,1707,76,321,20,3
31.0,female,4818.0,2369,220,206,20,4
41.0,female,6223.0,1501,90,241,53,5
84.0,female,3534.0,1836,148,185,53,5
86.0,female,5622.0,1819,62,237,43,3
22.0,male,1811.0,2045,81,352,20,5
55.0,male,9731.0,1907,86,260,106,4
74.0,female,5634.0,1847,126,277,35,7
22.0,female,3029.0,2653,49,478,45,3
85.0,female,9727.0,1859,40,328,20,3
46.0,female,3510.0,2001,56,314,58,1
44.0,male,3024.0,1968,87,372,20,4
46.0,female,1036.0,1962,142,236,29,3
81.0,male,6224.0,1553,192,146,26,4
75.0,female,5014.0,2019,218,282,20,3
28.0,male,5044.0,2193,191,389,33,2
21.0,female,4815.0,2365,87,268,79,3
32.0,female,6224.0,1856,37,204,88,1
76.0,female,3513.0,1200,113,290,46,2
65.0,female,3024.0,1650,99,274,20,3
