"age","gender","zip_code","daily_kcal","protein_g","carbs_g","fat_g","fruit_portions"
68,"female","4816",1914,30,402,20,0
82,"male","4825",2130,181,277,28,1
28,"male","5634",1411,38,256,53,8
77,"male","9735",2152,30,195,151,3
83,"female","1023",2235,103,460,20,3
54,"male","3024",2529,186,361,51,6
58,"male","6535",1785,80,214,36,5
50,"female","1033",1923,34,295,66,5
64,"female","2545",2517,220,102,123,2
47,"male","4822",1997,125,275,52,0
85,"female","2517",1358,36,202,35,7
35,"male","8921",2268,33,342,84,3
46,"female","3511",2001,30,309,51,4
47,"male","9728",2562,176,347,20,2
24,"male","5616",2168,107,215,89,7
85,"male","5014",1986,218,275,24,5
23,"male","9728",2597,219,345,20,2
46,"male","6535",1679,52,332,20,6
56,"female","5622",2525,220,357,20,5
46,"female","2545",2172,169,262,67,1
87,"male","2517",1977,30,474,20,3
19,"female","5033",1909,137,256,39,7
43,"male","2014",2347,124,351,65,4
18,"female","8921",2437,77,415,37,4
26,"female","5622",2542,220,357,20,4
51,"female","3041",1855,93,253,82,7
71,"female","4817",2243,220,232,43,2
55,"female","1028",2303,79,298,72,1
86,"female","5634",1507,51,202,47,5
77,"female","9721",1734,43,96,133,3
35,"other","4825",2018,220,118,20,2
58,"female","6211",2215,182,280,41,2
18,"male","3023",2470,158,335,45,0
71,"female","1823",1535,215,209,20,4
23,"male","1046",2527,137,365,53,0
52,"male","9735",2013,30,297,52,6
32,"female","5014",2253,114,481,20,7
72,"male","6514",1736,220,181,20,2
59,"male","2517",2370,92,310,34,3
41,"male","5646",2427,84,460,23,6
71,"male","9711",1781,83,286,39,5
28,"other","3548",1973,209,201,20,3
72,"male","9711",1726,214,116,48,1
84,"male","3023",2615,118,309,131,1
40,"female","3515",1785,203,203,28,2
77,"male","6224",1651,120,217,36,2
77,"male","6224",2113,149,291,36,5
84,"female","4825",2055,165,246,35,7
46,"female","5632",2006,107,348,32,3
50,"female","6221",2093,109,437,20,1
79,"male","1046",2166,30,338,55,0
74,"female","1046",1812,56,375,20,1
87,"male","2545",2415,118,315,81,3
81,"female","4825",2096,198,342,20,3
51,"male","3041",2149,177,261,35,7
42,"male","3511",2468,186,210,71,0
50,"other","1028",1606,30,196,83,4
73,"male","3023",2157,105,335,79,2
43,"male","5012",2108,186,222,38,1
42,"female","1823",1952,220,227,20,4
66,"male","9735",2206,162,256,59,0
65,"female","8921",2046,155,284,49,3
58,"female","5621",2020,128,191,75,6
40,"male","5612",2268,42,297,78,1
