User_ID,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),age,gender,zip_code
575,Vegetables,517,22.1,57.6,48.3,6.0,42.9,544,190,Breakfast,899,38,Male,2507
381,Dairy,468,32.1,5.6,2.8,6.7,1.1,859,251,Snack,489,77,Female,3032
604,Beverages,205,21.9,93.7,31.7,9.4,27.0,349,118,Snack,245,20,Male,6841
167,Dairy,394,5.2,66.2,44.1,5.9,19.5,478,124,Dinner,686,73,Female,2589
427,Snacks,251,39.3,95.2,3.9,7.4,17.1,685,281,Snack,722,66,Male,3524
676,Beverages,450,23.6,38.4,3.0,7.5,22.7,528,295,Snack,532,72,Male,2518
14,Beverages,249,15.0,89.8,19.4,4.6,37.5,109,276,Dinner,795,50,Female,9931
216,Meat,302,4.5,27.4,42.5,6.9,8.1,779,279,Snack,713,38,Male,3599
973,Meat,535,32.7,96.0,46.8,0.5,0.5,327,212,Breakfast,589,77,Male,2063
98,Meat,445,9.5,61.3,4.6,8.5,14.1,34,18,Snack,338,39,Male,2572
830,Beverages,248,10.9,68.7,5.0,1.8,41.5,15,26,Lunch,167,58,Female,2024
619,Beverages,437,12.2,74.5,27.2,4.2,48.5,497,269,Lunch,407,75,Male,3028
445,Dairy,522,37.2,9.1,4.3,1.5,15.9,519,188,Lunch,126,74,Female,2022
714,Meat,343,37.2,79.3,44.7,9.4,15.6,470,122,Lunch,941,77,Male,3004
336,Grains,500,31.8,29.5,41.6,4.0,8.7,607,70,Breakfast,160,43,Female,3033
607,Fruits,57,29.6,56.7,45.0,5.8,36.1,608,28,Breakfast,607,37,Female,9402
154,Meat,261,20.1,52.5,12.7,2.9,5.3,300,99,Breakfast,857,22,Female,1057
171,Snacks,183,39.1,32.4,47.0,2.8,27.6,704,281,Snack,498,23,Male,2543
537,Vegetables,192,49.3,85.1,18.4,7.3,35.5,543,20,Lunch,803,77,Male,2591
562,Fruits,412,43.9,25.9,14.1,0.4,39.6,143,132,Breakfast,921,58,Male,8911
138,Snacks,251,46.0,9.9,40.9,8.1,19.6,894,282,Lunch,418,55,Male,3579
86,Dairy,53,28.8,5.2,28.5,7.1,26.4,476,190,Dinner,146,73,Male,2586
885,Fruits,55,25.7,21.4,10.1,1.9,6.4,446,46,Snack,550,19,Male,3821
479,Snacks,194,44.5,93.1,34.5,6.8,47.4,317,56,Lunch,217,27,Female,3568
765,Snacks,494,15.3,62.5,21.4,2.0,9.8,697,61,Snack,807,20,Male,3033
933,Fruits,187,6.4,44.1,34.9,2.1,2.0,48,238,Lunch,823,74,Male,2012
419,Snacks,334,17.3,41.5,26.0,0.7,21.3,774,193,Lunch,710,27,Female,3589
229,Beverages,135,34.3,8.5,34.5,4.5,26.7,253,58,Dinner,890,52,Male,3578
645,Dairy,127,10.4,43.0,21.6,4.4,42.8,632,282,Lunch,153,28,Male,1005
380,Grains,277,19.5,97.2,12.7,2.8,38.5,71,272,Dinner,944,23,Male,2015
101,Fruits,115,18.1,54.5,12.0,0.4,8.2,287,299,Dinner,884,39,Male,1057
769,Grains,371,48.6,13.8,41.9,2.2,21.4,338,138,Breakfast,224,75,Female,3065
559,Dairy,350,47.0,66.5,22.4,9.9,11.1,181,107,Breakfast,206,30,Female,2565
108,Grains,407,13.1,64.6,18.6,3.6,14.3,870,115,Breakfast,308,22,Female,2557
838,Beverages,340,23.7,42.8,38.9,1.0,4.8,708,241,Snack,476,42,Female,1088
