id,zipcode,lotlen,lotwidth,lotarea,housearea,gardensize,balcony,xcoor,ycoor,buildyear,bathrooms,taxvalue,retailvalue,energyeff,monument
332941,3500.0,19.1,7.0,133.3,155.25,64.4,2,2913,5960,2016,1,713000.0,770000.0,1,0
713455,3500.0,18.2,6.6,122.1,120.6,56.6,1,2817,5807,2003,1,591000.0,617000.0,0,0
731852,3500.0,16.6,10.7,180.4,198.0,75.3,1,2664,5711,1987,1,942000.0,930000.0,0,1
320263,3530.0,14.1,5.9,78.6,115.2,9.8,0,2405,5161,1943,1,525000.0,720000.0,0,1
571596,3500.0,15.5,7.9,125.3,109.35,43.8,1,2552,5950,2009,1,539000.0,561000.0,1,0
912360,3800.0,16.2,6.7,111.2,118.8,51.8,1,2618,5258,1946,1,573000.0,717000.0,0,1
362888,3525.0,14.1,10.7,152.3,196.2,21.6,2,2405,5565,1979,2,888000.0,1037000.0,1,1
771022,3525.0,14.0,8.7,120.4,124.2,20.8,1,2400,5718,1987,2,577000.0,754000.0,1,0
551045,3530.0,14.1,5.8,85.4,130.5,18.0,1,2409,5017,1922,1,596000.0,792000.0,0,1
563919,3500.0,17.2,8.1,138.5,180.0,55.4,1,2719,5760,1993,2,862000.0,891000.0,1,0
573843,3500.0,18.1,7.1,129.2,159.75,61.9,2,2807,5813,2001,1,750000.0,801000.0,0,0
732759,3525.0,12.7,7.5,89.5,99.9,7.2,0,2268,5805,2003,1,465000.0,552000.0,0,0
452130,3530.0,12.5,6.8,80.6,148.5,20.3,2,2252,5152,1940,2,655000.0,869000.0,1,1
861684,3800.0,17.0,8.4,139.4,113.4,51.9,1,2701,5610,1986,1,562000.0,686000.0,0,0
192884,3800.0,19.5,10.7,205.7,238.5,110.2,2,2951,5459,1963,2,1154000.0,1321000.0,1,1
941563,3800.0,19.1,6.5,128.0,146.25,58.2,2,2911,5163,1936,2,686000.0,818000.0,1,1
981207,3530.0,10.5,5.3,56.2,112.5,5.3,0,2051,5065,1937,1,499000.0,649000.0,0,1
270091,3800.0,18.2,8.4,157.3,113.4,59.8,2,2818,5507,1974,1,585000.0,660000.0,0,0
383750,3800.0,16.1,6.4,106.3,111.6,38.6,1,2607,5211,1940,1,531000.0,704000.0,0,1
701199,3530.0,14.6,10.3,150.4,234.0,21.8,1,2458,5410,1963,1,1042000.0,1232000.0,0,1
961888,3525.0,10.7,8.3,94.6,182.25,17.8,2,2067,5716,1990,1,813000.0,921000.0,0,0
111253,3800.0,17.6,5.8,107.7,82.35,44.0,1,2757,5150,1937,1,412000.0,557000.0,1,1
231797,3800.0,19.1,9.8,188.1,220.5,81.9,2,2913,5469,1965,1,1035000.0,1204000.0,0,1
981132,3525.0,14.1,8.1,117.5,147.6,36.0,1,2409,5705,1989,2,695000.0,756000.0,1,0
352294,3525.0,13.7,8.5,120.6,189.0,25.0,1,2368,5955,2009,2,855000.0,1036000.0,1,0
282046,3500.0,15.6,6.7,103.9,117.0,26.0,1,2556,5904,2011,1,549000.0,617000.0,1,0
533923,3500.0,17.2,7.3,116.8,97.2,39.7,1,2715,5813,1999,1,482000.0,546000.0,0,0
671166,3530.0,14.6,10.3,146.0,238.5,33.5,2,2456,5403,1963,1,1057000.0,1254000.0,0,1
250324,3530.0,12.0,6.3,70.2,141.75,5.9,0,2201,5118,1940,1,617000.0,823000.0,0,1
320682,3530.0,14.0,5.1,66.8,67.5,14.6,1,2403,5253,1944,1,329000.0,461000.0,1,0
800388,3800.0,19.5,5.0,96.0,67.5,51.8,1,2954,5001,1930,1,362000.0,445000.0,1,1
770381,3530.0,12.0,10.6,127.2,234.0,21.8,1,2201,5453,1962,1,1085000.0,1349000.0,0,1
840684,3500.0,16.2,8.8,150.7,121.5,65.3,2,2618,5617,1988,2,579000.0,710000.0,1,0
751197,3530.0,13.6,6.3,85.8,137.25,25.0,1,2357,5306,1954,1,605000.0,806000.0,0,1
410588,3500.0,19.2,7.9,155.5,106.65,85.0,2,2916,5753,1998,1,550000.0,582000.0,0,0
741330,3500.0,15.5,10.8,164.3,148.5,58.3,1,2550,5650,1983,2,719000.0,839000.0,1,0
913923,3525.0,14.7,9.0,125.6,121.5,20.8,2,2465,5665,1986,1,593000.0,710000.0,0,0
250324,3800.0,17.2,8.4,139.3,189.0,51.9,1,2716,5401,1959,2,870000.0,1068000.0,1,1
633461,3525.0,10.1,8.6,87.7,160.2,9.0,0,2005,5560,1975,2,718000.0,939000.0,1,0
743694,3800.0,19.1,10.6,197.2,245.25,100.3,1,2911,5462,1969,2,1113000.0,1281000.0,1,1
542896,3525.0,13.6,7.8,102.8,138.6,36.2,1,2361,5969,2017,2,639000.0,706000.0,1,0
282256,3500.0,17.1,10.8,188.1,190.8,43.9,1,2711,5707,1989,1,900000.0,916000.0,0,1
283145,3500.0,17.1,7.6,127.1,171.0,29.6,2,2713,5850,2002,2,795000.0,843000.0,1,0
430595,3800.0,18.6,5.5,102.9,74.25,40.3,1,2860,5317,1953,1,381000.0,460000.0,1,0
240359,3800.0,19.2,6.1,117.2,137.25,48.6,2,2917,5008,1922,2,639000.0,757000.0,1,1
321587,3525.0,11.5,8.3,95.1,135.0,8.9,0,2153,5968,2014,1,627000.0,694000.0,1,0
121295,3800.0,16.7,8.4,138.5,113.4,35.3,2,2667,5411,1962,1,576000.0,684000.0,0,1
920668,3530.0,11.6,5.0,59.9,90.0,5.3,0,2160,5352,1952,1,415000.0,549000.0,1,0
623839,3525.0,12.6,7.2,93.2,97.2,7.9,0,2263,5807,1998,1,452000.0,498000.0,0,0
713495,3530.0,10.0,5.6,57.1,123.75,5.6,0,2000,5217,1947,1,529000.0,703000.0,0,1
892382,3525.0,10.2,7.9,81.6,101.25,7.2,0,2019,5903,2007,1,447000.0,554000.0,1,0
310812,3800.0,19.0,8.6,171.6,162.0,89.0,1,2902,5511,1971,2,797000.0,939000.0,1,1
523753,3500.0,19.5,7.4,141.3,145.8,67.2,1,2950,5763,1998,2,704000.0,749000.0,1,0
850817,3800.0,19.2,6.0,111.6,111.6,48.5,2,2917,5056,1928,1,532000.0,625000.0,0,1
311017,3800.0,18.6,9.7,187.9,218.25,59.8,2,2855,5469,1969,2,1020000.0,1163000.0,1,1
403563,3500.0,17.1,8.1,144.5,173.25,52.1,2,2714,5916,2008,1,810000.0,869000.0,1,0
742076,3525.0,14.7,10.8,146.6,234.0,57.7,1,2468,5561,1979,2,1104000.0,1295000.0,1,1
133441,3525.0,10.1,9.3,89.9,160.2,9.3,0,2006,5616,1986,2,713000.0,885000.0,1,0
811100,3800.0,16.1,9.4,153.0,171.0,65.3,1,2609,5519,1973,2,810000.0,976000.0,1,1
401017,3525.0,14.2,7.8,106.9,133.2,21.3,2,2416,5869,2007,1,603000.0,673000.0,1,0
752012,3530.0,13.0,9.7,125.4,218.25,8.7,0,2304,5410,1964,1,991000.0,1216000.0,0,1
650163,3530.0,12.1,11.0,129.5,198.0,22.9,1,2213,5350,1963,1,908000.0,1182000.0,0,1
520318,3530.0,14.6,10.3,143.5,234.0,34.7,1,2456,5314,1956,1,1060000.0,1247000.0,0,1
152608,3525.0,12.7,11.0,130.7,231.75,22.4,1,2269,5614,1976,1,1101000.0,1218000.0,0,1
561746,3530.0,14.0,10.8,148.4,147.15,34.7,1,2400,5402,1961,1,695000.0,914000.0,0,1
553474,3525.0,13.6,10.0,129.2,128.25,35.2,1,2358,5467,1967,2,640000.0,806000.0,1,0
623626,3525.0,10.1,8.5,81.6,193.5,9.0,0,2005,5608,1981,2,850000.0,1063000.0,1,0
191755,3800.0,19.5,10.7,205.4,247.5,83.6,2,2950,5415,1965,2,1113000.0,1271000.0,1,1
251145,3530.0,10.1,6.8,69.7,89.1,6.5,0,2014,5266,1946,1,409000.0,577000.0,1,0
961069,3530.0,10.7,5.5,57.8,121.5,5.3,0,2065,5115,1932,1,529000.0,717000.0,0,1
743584,3500.0,18.1,9.1,160.0,191.25,51.0,2,2808,5652,1981,1,895000.0,1106000.0,0,1
352000,3525.0,10.1,9.7,109.2,176.4,10.0,2,2011,5653,1982,2,795000.0,936000.0,1,0
521225,3530.0,10.7,6.3,68.4,141.75,7.1,0,2068,5115,1940,1,634000.0,833000.0,0,1
742267,3530.0,12.7,8.7,108.4,195.75,19.1,2,2266,5456,1970,1,864000.0,1134000.0,0,1
393778,3500.0,18.6,7.1,129.2,95.85,61.2,1,2864,5802,1996,1,511000.0,545000.0,0,0
691650,3530.0,12.6,8.7,108.0,195.75,17.3,2,2260,5460,1968,1,850000.0,1109000.0,0,1
652913,3500.0,16.2,7.8,116.8,133.2,41.0,2,2618,5959,2017,1,628000.0,684000.0,1,0
960378,3530.0,10.5,6.5,73.1,117.0,10.4,1,2052,5100,1937,1,510000.0,717000.0,0,1
221997,3530.0,12.6,5.1,63.4,67.5,8.0,0,2261,5305,1951,1,313000.0,467000.0,1,0
512632,3525.0,10.6,8.1,87.7,135.0,8.3,0,2060,5815,1996,1,607000.0,709000.0,0,0
670594,3800.0,18.1,8.7,152.2,116.1,66.4,1,2801,5317,1958,1,570000.0,714000.0,0,1
752012,3800.0,19.2,7.0,134.0,93.15,71.7,1,2917,5205,1945,1,470000.0,538000.0,0,1
503059,3525.0,14.5,9.9,144.5,183.6,43.6,1,2452,5516,1971,1,866000.0,1018000.0,0,1
110799,3530.0,13.6,6.1,86.0,137.25,23.8,1,2356,5316,1954,1,628000.0,806000.0,0,0
430373,3530.0,12.0,5.9,73.8,115.2,6.5,0,2201,5214,1947,1,500000.0,717000.0,0,1
681429,3530.0,12.6,8.2,101.6,110.7,8.2,0,2258,5362,1958,1,521000.0,685000.0,0,0
270091,3530.0,13.2,5.7,75.3,128.25,17.8,1,2315,5010,1923,2,563000.0,757000.0,1,1
252738,3800.0,18.2,6.7,121.3,118.8,40.3,2,2817,5365,1949,1,573000.0,675000.0,0,1
360144,3525.0,14.6,7.9,115.6,145.8,42.1,2,2458,5915,2010,1,669000.0,727000.0,1,0
991035,3530.0,10.0,6.9,70.0,93.15,6.3,0,2004,5003,1931,1,439000.0,583000.0,0,1
411688,3800.0,19.5,5.7,108.6,75.6,45.6,1,2951,5268,1944,1,390000.0,503000.0,1,1
932353,3800.0,16.6,10.8,179.6,231.75,67.1,2,2662,5616,1983,2,1126000.0,1273000.0,1,0
972360,3800.0,17.6,7.0,121.3,93.15,56.6,1,2759,5064,1935,1,470000.0,591000.0,0,1
390701,3500.0,16.0,8.9,142.6,151.2,40.5,1,2600,5617,1979,1,720000.0,871000.0,0,0
201066,3800.0,19.2,6.2,120.2,108.0,57.6,2,2917,5301,1950,1,533000.0,625000.0,0,0
812387,3530.0,10.6,6.9,74.2,155.25,6.9,0,2061,5050,1929,2,685000.0,931000.0,1,1
800992,3525.0,14.1,10.6,152.6,243.0,45.1,2,2406,5462,1968,2,1090000.0,1345000.0,1,1
233618,3525.0,11.5,8.4,92.8,118.8,26.6,2,2152,5552,1974,1,544000.0,654000.0,0,0
691029,3500.0,19.7,7.1,134.4,95.85,67.5,1,2968,5958,2010,1,501000.0,531000.0,1,0
711984,3525.0,11.6,10.9,117.7,145.8,10.4,2,2161,5764,1993,2,679000.0,754000.0,1,0
233225,3530.0,10.7,5.1,53.0,90.0,5.0,0,2067,5003,1928,1,425000.0,545000.0,1,1
663931,3525.0,13.0,7.3,91.4,129.6,7.4,0,2300,5750,1990,1,597000.0,673000.0,0,0
173756,3530.0,11.6,8.8,103.5,116.1,11.0,1,2158,5358,1958,1,546000.0,730000.0,0,0
903167,3500.0,18.2,7.7,126.7,136.8,54.4,1,2819,5667,1992,1,643000.0,756000.0,0,0
240129,3800.0,19.2,5.0,92.5,114.75,38.9,2,2918,5013,1921,1,531000.0,636000.0,0,1
233715,3800.0,17.5,8.5,140.8,158.4,71.0,1,2751,5414,1957,1,743000.0,939000.0,0,1
502620,3500.0,15.2,7.9,126.4,140.4,25.0,1,2515,5913,2008,1,661000.0,731000.0,1,0
490983,3500.0,15.2,8.5,128.4,189.0,41.3,1,2515,5750,1993,1,837000.0,936000.0,0,0
191967,3800.0,15.6,8.8,145.1,153.0,64.7,2,2559,5468,1967,1,712000.0,887000.0,0,1
723388,3500.0,19.6,10.7,209.7,144.45,94.6,1,2960,5709,1986,2,729000.0,801000.0,1,1
503653,3525.0,14.1,7.3,105.9,97.2,25.9,1,2412,5711,1992,1,473000.0,546000.0,0,0
502620,3500.0,15.6,7.1,117.0,159.75,50.4,2,2559,5854,2003,1,745000.0,808000.0,0,0
721052,3800.0,19.1,8.8,162.8,158.4,74.5,2,2907,5503,1967,1,734000.0,931000.0,0,1
301983,3500.0,15.6,7.1,114.7,159.75,45.8,1,2558,5854,1998,2,742000.0,811000.0,1,0
253643,3800.0,17.5,6.7,122.5,91.8,46.2,1,2752,5316,1951,1,470000.0,582000.0,0,1
440240,3500.0,17.2,7.3,130.0,162.0,55.3,2,2716,5869,2002,1,773000.0,816000.0,0,0
860660,3500.0,17.1,8.3,139.3,184.5,49.8,2,2711,5951,2007,2,850000.0,957000.0,1,0
181523,3530.0,10.2,9.1,95.4,154.8,8.5,0,2016,5465,1968,2,679000.0,911000.0,1,1
663094,3500.0,18.5,7.9,147.7,108.0,71.4,2,2851,5963,2015,1,571000.0,578000.0,1,0
470869,3530.0,13.6,8.2,110.2,186.75,20.8,1,2357,5350,1956,1,834000.0,1098000.0,0,1
713455,3800.0,17.1,10.2,170.0,222.75,56.1,1,2712,5467,1971,1,1038000.0,1191000.0,0,1
110606,3530.0,14.1,6.8,100.1,120.6,33.8,2,2408,5217,1953,1,553000.0,709000.0,0,1
730471,3800.0,17.1,5.4,90.6,123.75,38.8,1,2711,5067,1933,1,545000.0,694000.0,0,1
333186,3500.0,15.1,8.1,123.2,105.3,41.3,1,2509,5705,1989,1,525000.0,651000.0,0,0
742184,3525.0,10.6,9.0,89.0,153.0,9.0,0,2063,5609,1977,2,679000.0,867000.0,1,0
252738,3800.0,19.2,8.6,176.4,200.25,79.2,1,2919,5410,1964,1,944000.0,1030000.0,0,1
970575,3800.0,18.5,6.1,117.2,139.5,48.5,1,2854,5051,1929,2,629000.0,761000.0,1,1
582098,3530.0,11.6,5.1,58.7,93.6,6.2,0,2159,5319,1952,1,428000.0,572000.0,0,0
233225,3530.0,10.7,8.0,92.1,180.0,26.6,2,2066,5467,1967,2,802000.0,988000.0,1,1
