id,zipcode,lotlen,lotwidth,lotarea,housearea,gardensize,balcony,xcoor,ycoor,buildyear,bathrooms,taxvalue,retailvalue,energyeff,monument
940377,3800,18.5,6.0,111.0,81.0,39.0,1,2853,5055,1929,1,413000,509000,1,1
253643,3525,12.0,8.4,100.8,151.2,25.2,2,2203,5907,2002,1,685000,769000,0,0
691029,3528,11.2,6.2,69.4,111.6,7.4,0,2118,5261,1954,1,502000,675000,0,0
512011,3525,10.6,10.3,109.2,231.75,16.5,1,2063,5506,1969,2,1014000,1254000,1,1
671759,3800,17.5,10.7,187.3,240.75,69.6,2,2754,5415,1964,2,1113000,1330000,1,1
663203,3525,10.1,7.2,72.7,97.2,7.9,0,2005,5809,1996,1,447000,516000,0,0
523842,3525,12.2,8.1,98.8,109.35,25.9,1,2218,5968,2010,1,516000,575000,1,0
881446,3528,12.2,8.1,98.8,109.35,17.8,2,2216,5354,1960,1,516000,702000,0,0
131806,3528,10.2,10.3,105.1,139.05,12.4,2,2018,5466,1972,1,640000,820000,0,0
683264,3525,13.1,7.3,95.6,98.55,8.0,0,2310,5807,2002,1,471000,555000,0,0
130174,3800,18.7,5.8,108.5,78.3,38.9,1,2865,5018,1925,1,400000,491000,1,1
672509,3800,15.1,10.0,151.0,225.0,61.0,1,2511,5609,1976,1,1021000,1225000,0,1
602264,3525,13.1,8.8,115.3,118.8,36.1,1,2308,5550,1973,1,567000,728000,0,0
370671,3528,13.6,6.1,83.0,137.25,9.8,0,2360,5157,1940,2,615000,829000,1,1
270091,3528,14.5,7.0,101.5,157.5,38.5,2,2451,5009,1929,1,711000,937000,0,1
223925,3500,16.1,7.4,119.1,166.5,37.7,2,2606,5960,2009,2,761000,816000,1,0
443282,3525,14.1,6.7,94.5,120.6,20.8,2,2411,5800,1996,2,558000,647000,1,0
161253,3528,12.5,6.4,80.0,115.2,6.4,0,2252,5319,1950,1,525000,704000,0,0
841269,3528,13.1,6.1,79.9,82.35,12.8,1,2313,5303,1953,1,393000,542000,1,0
933282,3525,14.1,7.0,98.7,126.0,14.7,1,2410,5805,1993,1,583000,675000,0,0
411688,3528,14.2,8.5,120.7,191.25,44.2,2,2417,5413,1958,2,862000,1098000,1,1
850817,3528,10.5,6.9,72.5,155.25,10.4,1,2050,5215,1950,2,679000,894000,1,1
991035,3528,11.5,5.3,61.0,95.4,5.3,0,2151,5269,1953,1,430000,581000,0,0
590892,3528,14.6,6.4,93.4,144.0,23.0,2,2459,5212,1948,2,651000,854000,1,1
962773,3500,18.6,9.0,167.4,202.5,59.4,2,2863,5652,1983,2,944000,1048000,1,1
150786,3800,19.2,5.2,99.8,93.6,53.0,1,2916,5150,1943,1,454000,538000,0,1
623898,3525,14.6,7.4,108.0,133.2,34.0,1,2455,5955,2008,1,619000,680000,1,0
533923,3500,16.0,7.4,118.4,133.2,29.6,2,2600,5968,2008,1,628000,676000,1,0
463042,3525,12.2,8.3,101.3,186.75,8.3,0,2216,5757,1991,1,828000,966000,0,0
111253,3528,12.5,6.7,83.8,90.45,10.1,1,2254,5300,1954,1,429000,593000,1,0
383451,3525,12.6,7.9,99.5,106.65,28.4,1,2257,5869,2007,1,506000,584000,1,0
531328,3800,16.2,9.1,147.4,163.8,65.5,1,2617,5317,1956,1,773000,984000,0,1
362225,3525,11.1,10.1,112.1,181.8,11.1,1,2111,5558,1971,2,817000,1014000,1,1
512124,3800,16.1,9.4,151.3,126.9,47.9,1,2606,5503,1975,1,629000,791000,0,0
590500,3800,15.2,5.2,79.0,117.0,27.0,2,2516,5117,1933,1,531000,693000,0,1
